ཆོས་ཚན།,དབུ།,རྒྱབ་འདུན།,དབུའི་ཐིག་ཕྲེང་།,ཤོག་ངོས་༡ པོའི་ཐིག་གྲངས།,ཤོག་ངོས་༢ པའི་ཐིག་གྲངས།,ཤོག་ངོས་གཞན་གྱི་ཐིག་གྲངས།,ཞབས།,རྒྱབ་འདུན།,ཞབས་ཀྱི་ཐིག་གྲངས།,,
1-1_ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།_conc.txt,63,b,5,7,7,7,67,b,3,,
1-10_བསམ་གྱིས་མི་ཁྱབ་པར་བསྟོད་པ།_conc-corrected.txt,76,b,7,7,7,7,79,a,2,,
1-100_རྟེན་འབྱུང་སྙིང་པོའི་ཚིག་ལེའུར་བྱས་པ།_conc.txt,146,b,2,7,7,7,146,b,7,,
1-101_རྟེན་ཅིང་འབྲེལ་པར་འབྱུང་བའི་སྙིང་པོའི་རྣམ་པར་བཤད་པ།_conc-corrected.txt,146,b,7,7,7,7,149,a,2,,
1-102_མ་རྟོགས་པ་རྟོགས་པར་བྱེད་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།_conc-corrected.txt,149,a,2,7,7,7,150,a,4,,
1-103_སྲིད་པ་འཕོ་བ།_conc-corrected.txt,151,a,1,7,7,7,151,b,6,,
1-104_རང་བཞིན་གསུམ་ལ་འཇུག་པའི་སྒྲུབ་པ།_conc-corrected.txt,281,a,4,7,7,7,282,b,3,,
1-105_བསྒོམ་པའི་རིམ་པ།_conc-corrected.txt,1,b,1,5,5,7,4,a,3,,ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག
1-106_འཕགས་པ་སཱ་ལུ་ལྗང་པའི་ཚིག་ལེའུར་བྱས་པ།_conc-corrected.txt,179,b,3,7,7,7,182,a,3,,
1-107_འཕགས་པ་སཱ་ལུ་ལྗང་པ་ཞེས་བྱ་བ།_conc-corrected.txt,20,b,4,7,7,7,55,b,3,,
1-108_བྱང་ཆུབ་ཀྱི་ལྟུང་བ་བཤགས་པའི་འགྲེལ་པ།_conc-corrected.txt,178,a,4,7,7,7,187,b,3,,
1-109_འཕགས་པ་ཆོས་ཀྱི་དབྱིངས་ཀྱི་སྙིང་པོའི་རྣམ་པར་འགྲེལ་པ།_conc.txt,222,b,1,7,7,7,223,a,4,,
1-11_བསྟོད་པ་ལས་འདས་པར་བསྟོད་པ།_conc-corrected.txt,79,a,2,7,7,7,79,b,6,,
1-110_འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པ།_conc-corrected.txt,1,b,1,5,5,7,4,b,1,,དབུའི་ཐིག་ཕྲེང་གཅིག་ཟགས་འདུག
1-111_བསླབ་པ་བཅུའི་ཆོ་ག_conc-corrected.txt,252,b,6,7,7,7,253,a,7,,དབུའི་མཚན་བྱང་ཆད་འདུག
1-112_རྒྱལ་པོ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ།_conc-corrected.txt,107,a,1,7,7,7,126,a,4,,དག་བརྩོན་ལྡན་པར། །Enterཆོས
1-113_རྨི་ལམ་ཡིད་བཞིན་ནོར་བུའི་གཏམ།_conc-corrected.txt,184,a,5,7,7,7,185,b,3,,
1-114_སྦྱིན་པའི་གཏམ།_conc-corrected.txt,166,b,5,7,7,7,167,b,1,,
1-115_སྲིད་པ་ལས་འདས་པའི་གཏམ།_conc-corrected.txt,167,b,1,7,7,7,168,a,4,,
1-116_བཤེས་པའི་སྤྲིང་ཡིག_conc-corrected.txt,60,a,3,7,7,7,65,b,6,,
1-117_སྦྱོར་བ་བརྒྱ་པ།_conc-corrected.txt,1,b,1,5,5,7,8,b,4,,མཚན་བྱང་ཆད་འདུག་པ་མ་དབུའི་ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག
1-118_བཤད་པ་སྨན་ཨ་བའི་ཆོ་ག_conc-corrected.txt,12,a,4,7,7,7,13,a,7,,འདིའི་དབུའི་ཡི་གེ་ཁ་ཤས་ཆད་འདུག་པ་མ་ཟད་ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག
1-119_སྤོས་སྦྱོར་རིན་པོ་ཆེའི་ཕྲེང་བ་ཞེས་བྱ་བ།_conc-corrected.txt,29,b,1,7,7,7,29,b,4,,འདིའི་མཚན་བྱང་ཆད་འདུག
1-12_བླ་ན་མེད་པའི་བསྟོད་པ།_conc-corrected.txt,79,b,7,7,7,7,80,a,4,,
1-120_སྤོས་ཀྱི་སྦྱོར་བ་རེའུ་ཆར་བྱས་པ།_conc-corrected.txt,18,a,2,7,7,7,18,b,2,,
1-122_ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།_conc-corrected.txt,78,a,4,7,7,7,82,a,3,,
1-123_ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ་ཞེས་བྱ་བ།_conc-corrected.txt,103,a,7,7,7,7,113,a,4,,འདིའི་མཧུག་ཏུ་ཐིག་ཕྲེང་གཅིག་ལྷག་མ་འདུག་པས་དེ་བཟོས་ཡོད། 
1-124_ལུགས་ཀྱི་བསྟན་བཅོས་སྐྱེ་བོ་གསོ་བའི་ཐིགས་པ་ཞེས་བྱ་བ།_conc-corrected.txt,113,a,4,7,7,7,116,b,4,,
1-125_རྡོ་རྗེའི་སྨོན་ལམ།_conc-corrected.txt,315,a,5,7,7,7,316,a,1,,
1-126_བྱང་ཆུབ་འབྱུང་བའི་སྨོན་ལམ།_conc-corrected.txt,316,a,3,7,7,7,317,a,3,,
1-127_སྨོན་ལམ་རིན་པོ་ཆེའི་རྒྱལ་པོ་ཞེས་བྱ་བ།_conc-corrected.txt,325,b,6,7,7,7,326,b,7,,
1-128_བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།a_conc-corrected.txt,346,a,5,7,7,7,347,a,7,,
1-129_བཀྲ་ཤིས་ཀྱི་ཚིགས་སུ་བཅད་པ།b_conc-corrected.txt,347,a,7,7,7,7,349,a,3,,
1-130_འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་ཞལ་སྔ་ནས་མཛད་པའི་མན་ངག་ཟབ་མོ།_conc-corrected.txt,286,b,5,7,7,7,294,a,6,,མཆན་བྱང་འདུག་པ་མ་ཟད་ཐིག་ཕྲེང་གཉིས་ཟགས་འདུག
1-139_ཀླུ་སྒྲུབ་ཀྱི་གླུ།_conc-corrected.txt,10,a,3,7,7,7,10,a,6,,
1-140_ལྟུང་པ་བཅོ་ལྔ།_conc.txt,180,a,3,7,7,7,180,a,5,,
1-141_ཡན་ལག་གི་ཉེས་པ་བདུན་པ།_conc-corrected.txt,180,a,6,7,7,7,180,a,7,,དབུའི་ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག
1-142_ཀླུའི་དབང་ཕྱུག་རྒྱལ་པོའི་སྒྲུབ་ཐབས།_conc-corrected.txt,257,b,3,7,7,7,259,a,6,,
1-143_སེང་ལྡེང་ནགས་ཀྱི་སྒྲོལ་མའི་སྒྲུབ་ཐབས།_conc-corrected.txt,147,a,6,7,7,7,148,a,1,,
1-145_རྒྱུད་སྣ་ཚོགས་ལས་བཏུས་པའི་གཏོར་མའི་ཆོ་ག_conc.txt,130,b,3,7,7,7,160,b,2,,
1-146_དབུ་མ་རྩ་བའི་འགྲེལ་པ་ག་ལས་འཇིགས་མེད།_conc-corrected.txt,29,b,1,7,7,7,99,a,7,,
1-147_སྐྱེ་མེད་རིན་པོ་ཆེའི་མཛོད།_conc-corrected.txt,150,a,4,7,7,7,151,a,1,,
1-149_མདོ་ཀུན་ལས་བཏུས་པ།_conc.txt,148,b,1,7,7,7,215,a,5,,
1-150_བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པའི་ཆོ་ག_conc-corrected.txt,237,a,4,7,7,7,239,a,4,,
1-151_འཕགས་པ་བཟང་པོ་སྤྱོད་པའི་སྨོན་ལམ་གྱི་རྒྱལ་པོ་ཆེན་པོའི་བཤད་སྦྱར།_conc.txt,163,b,4,7,7,7,182,a,1,,
1-153_སྨན་འཚོ་བའི་མདོ་ཚིགས་སུ་བཅད་པ།_conc-corrected.txt,8,b,4,7,7,7,12,a,2,,མཚན་བྱང་ཆད་འདུག
1-156_དགེ་བའི་འདོད་འཇོ།_conc.txt,131,b,4,7,7,7,140,a,3,,
1-159_འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱི་སྨོན་ལམ་ཞེས་བྱ་བ།_conc-corrected.txt,317,b,4,7,7,7,318,a,4,,
1-163_རྒྱལ་པོ་ལ་གཏམ་བྱ་བ་རིན་པོ་ཆེའི་ཕྲེང་བ་ལས་བྱུང་བའི་སྨོན་ལམ།_conc-corrected.txt,318,a,4,7,7,7,319,a,4,,མཚན་བྱང་ཆད་འདུག
1-17_འཕགས་པ་རྗེ་བཙུན་འཇམ་དཔལ་གྱི་དོན་དམ་པའི་བསྟོད་པ།_conc-corrected.txt,80,a,5,7,7,7,80,b,5,,
1-18_རྗེ་བཙུན་འཕགས་པ་འཇམ་དཔལ་གྱི་སྙིང་རྗེ་ལ་བསྟོད་པ།_conc-corrected.txt,80,b,5,7,7,7,81,b,2,,
1-19_གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ།a_conc-corrected.txt,81,b,3,7,7,7,82,a,3,,
1-2_དཔེ་མེད་པར་བསྟོད་པ།_conc-corrected.txt,67,b,3,7,7,7,68,b,4,,
1-20_གནས་ཆེན་པོ་བརྒྱད་ཀྱི་མཆོད་རྟེན་ལ་བསྟོད་པ།b_conc-corrected.txt,82,a,3,7,7,7,82,b,3,,
1-21_མཛད་པ་བཅུ་གཉིས་ཀྱི་ཚུལ་ལ་བསྟོད་པ།_conc-corrected.txt,82,b,3,7,7,7,83,a,6,,
1-22_ཕྱག་འཚལ་བའི་བསྟོད་པ་ཞེས་བྱ་བ།_conc-corrected.txt,83,a,6,7,7,7,83,b,5,,
1-23_དམྱལ་བ་ནས་འདོན་པ་ཞེས་བྱ་བ།_conc-corrected.txt,83,b,5,7,7,7,84,a,7,,
1-24_དགོངས་པའི་འགྲེལ་སྐད་ཀྱི་འགྲེལ་པ།_conc.txt,297,a,5,7,7,7,301,b,4,,
1-25_མཆན་ཁུང་གི་སྦྱོར་བ།_conc-corrected.txt,72,b,1,7,7,7,73,b,5,,
1-26_སྒྲོལ་མའི་སྒྲུབ་ཐབས།_conc-corrected.txt,1,b,1,5,5,7,5,b,7,,ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག
1-27_ཐུགས་རྗེ་ཆེན་པོ་འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས་སྤྱིའི་མངོན་པར་རྟོགས་པ།_conc-corrected.txt,6,a,1,7,7,7,6,b,5,,
1-28_དཔལ་མགོན་པོ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཀྱི་རིམ་པ་ཞེས་བྱ་བ།_conc-corrected.txt,156,a,5,7,7,7,58,a,2,,
1-29_དཔལ་ནག་པོ་ཆེན་པོ་ཡུམ་ཅན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།_conc-corrected.txt,247,b,7,7,7,7,250,b,4,,
1-3_འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ།_conc-corrected.txt,68,b,4,7,7,7,69,b,4,,
1-30_དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།_conc-corrected.txt,250,b,4,7,7,7,251,a,7,,
1-31_ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས།_conc.txt,268,a,3,7,7,7,268,b,1,,
1-32_དཔལ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ།_conc-corrected.txt,272,a,7,7,7,7,273,a,6,,
1-33_རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ།_conc-corrected.txt,274,a,6,7,7,7,275,a,5,,
1-34_དཔལ་གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་རྒྱུད་འགྲེལ།_conc.txt,1,b,1,5,5,7,155,a,5,,
1-35_ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ།_conc.txt,284,a,1,7,7,7,324,a,7,,
1-36_སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ།_conc-corrected.txt,1,b,1,5,5,7,11,a,2,,
1-37_མདོ་དང་བསྲེས་པ།_conc.txt,11,a,2,7,7,7,15,b,1,,
1-38_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག_conc-corrected.txt,11,a,1,7,7,7,15,b,6,,
1-39_དབང་བཞི་པའི་རབ་ཏུ་བྱེད་པ།_conc-corrected.txt,35,a,7,7,7,7,38,a,5,,
1-4_སེམས་ཀྱི་རྡོ་རྗེའི་བསྟོད་པ།_conc-corrected.txt,69,b,5,7,7,7,70,a,2,,
1-40_བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ།a_conc-corrected.txt,42,b,5,7,7,7,45,a,5,,
1-41_བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ།b_conc-corrected.txt,38,a,5,7,7,7,42,b,5,,
1-43_རིམ་པ་ལྔ་པ།_conc-corrected.txt,45,a,5,7,7,7,57,a,1,,
1-48_རྡོ་རྗེ་ཁྲོ་བོ་གཏུམ་པོ་ལྷ་ལྔ་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག_conc.txt,64,a,1,7,7,7,70,a,3,,
1-49_ཕྱག་ན་རྡོ་རྗེའི་ལམ་ཡན་ལག་བརྒྱད་པ།_conc-corrected.txt,70,a,3,7,7,7,74,a,1,,
1-5_དོན་དམ་པར་བསྟོད་པ།_conc-corrected.txt,70,a,2,7,7,7,70,b,2,,
1-50_དེ་ཁོ་ན་ཉིད་སྒྲོན་མ།_conc-corrected.txt,147,b,4,7,7,7,168,b,1,,
1-52_སྔགས་ཀྱི་རྒྱན་གྱི་སྒྲུབ་ཐབས།_conc-corrected.txt,177,a,3,7,7,7,178,b,2,,
1-53_རབ་ཏུ་གནས་པའི་རྒྱན།_conc-corrected.txt,178,b,2,7,7,7,179,b,3,,
1-54_དངོས་པོ་སྦྱོང་བ་ཞེས་བྱ་བ།_conc-corrected.txt,127,b,1,7,7,7,128,a,6,,
1-55_རང་བཞིན་གྲུབ་པ་མེད་པའི་གཞིའི་མན་ངག་ཅེས་བྱ་བ།_conc-corrected.txt,14,a,2,7,7,7,14,b,1,,
1-56_རྡོ་རྗེ་ཐེག་པའི་སྦོམ་པོའི་ལྟུང་བ།_conc-corrected.txt,180,a,7,7,7,7,180,b,3,,ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག
1-57_ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྙིང་པོའི་སྒྲུབ་ཐབས།_conc-corrected.txt,243,b,4,7,7,7,245,b,2,,ཡིས། །འགྲོ་ Enter
1-59_འཇམ་དཔལ་རྡོ་རྗེ་བློ་གྲོས་འཕེལ་བ།_conc-corrected.txt,69,a,4,7,7,7,70,a,2,,
1-6_སྐུ་གསུམ་བསྟོད་པ།_conc-corrected.txt,70,b,3,7,7,7,71,a,2,,
1-60_འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཕྱག་སྟོང་པའི་སྒྲུབ་ཐབས།_conc.txt,114,b,2,7,7,7,122,b,1,,སྭཱ་ཧཱ། (འདིའི་བར་ནས་སྔགས་ཡིག་ཤོག་ངོས་གཅིག་དང་ཐིག་ཕྲེང་བཞི་ཆད་འདུག)གཟུངས་
1-61_འཕགས་པ་འཇིག་རྟེན་དབང་ཕྱུག་ཡི་གེ་དྲུག་པའི་སྒྲུབ་ཐབས།_conc-corrected.txt,122,b,1,7,7,7,123,b,7,,
1-63_འཇིག་རྟེན་དབང་ཕྱུག་གི་སྒྲུབ་ཐབས།_conc-corrected.txt,191,b,1,7,7,7,192,a,1,,
1-64_གོས་སྔོན་པོ་ཅན་གྱི་དངོས་གྲུབ་ཉེ་བ།_conc-corrected.txt,207,a,1,7,7,7,207,b,4,,
1-65_གནོད་པ་སེལ་བའི་བདུད་རྩི།_conc-corrected.txt,207,b,4,7,7,7,208,a,2,,
1-66_རྡོ་རྗེ་བྱ་བ་པའི་ལས་ཚོགས།_conc-corrected.txt,208,a,2,7,7,7,208,a,6,,
1-67_ཡན་ལག་བདུན་པའི་སྒྲུབ་ཐབས།_conc-corrected.txt,208,a,6,7,7,7,208,b,6,,
1-68_རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།_conc-corrected.txt,105,b,6,7,7,7,107,b,2,,
1-69_འཕགས་མ་རིག་མ་ཆེན་མོ་སོ་སོར་འབྲང་མའི་འཁོར་ལོ།_conc-corrected.txt,216,a,2,7,7,7,217,b,5,,
1-7_སྐུ་གསུམ་ལ་བསྟོད་པ་ཞེས་བྱ་བའི་རྣམ་པར་འགྲེལ་པ།_conc-corrected.txt,71,a,2,7,7,7,74,b,3,,
1-70_རྟོག་པ་ལས་གསུངས་པའི་ལྷ་མོ་རིགས་བྱེད་མའི་སྒྲུབ་པའི་ཐབས།_conc-corrected.txt,42,b,3,7,7,7,44,a,2,,
1-71_རྡོ་རྗེ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།_conc-corrected.txt,265,b,4,7,7,7,271,a,2,,
1-72_རལ་པ་གཅིག་མའི་སྒྲུབ་ཐབས།_conc-corrected.txt,170,b,6,7,7,7,171,b,1,,
1-73_སྒྲོལ་མའི་རྟོག་པ་ལས་བྱུང་བའི་ཚིག་ལྷུག་པའི་རིགས་བྱེད་མའི་སྒྲུབ་ཐབས།_conc.txt,194,a,4,7,7,7,194,b,4,,
1-74_ཞེན་ལོག་སྒྲོན་མ་བཞུགས།_conc.txt,58,b,2,7,7,7,63,b,7,,དབུ་ལ་མཚན་བྱང་དུ་ཞེན་ལོག་སྒྲོལ་མ་བཞུགས་ཞེས་པ་ཆད་འདུག
1-75_རྣམ་རྒྱལ་འཕགས་མའི་སྒྲུབ་ཐབས།_conc.txt,214,a,1,7,7,7,217,b,1,,
1-76_གཡུའི་ཐང་མ་ཀྲས་དགུ།_conc.txt,426,b,4,8,8,8,433,b,4,,
1-77_བསྡུས་པའི་རིམ་པའི་སྒྲུབ་ཐབས།_conc-corrected.txt,1,b,1,8,8,8,12,a,6,,
1-78_རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ།_conc-corrected.txt,281,a,2,8,8,8,281,b,1,,
1-79_གནོད་སྦྱིན་མཁའ་འགྲོ་ཀུན་འཁྱིལ་རྟོགས་པ་ལས་བྱུང་བའི་གྭ་ཐབས།_conc.txt,219,a,3,7,7,7,220,a,2,,
1-8_སེམས་ཅན་མགུ་བར་བྱ་བའི་བསྟོད་པ།_conc-corrected.txt,74,b,3,7,7,7,75,b,1,,
1-80_དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།a_conc-corrected.txt,250,b,4,7,7,7,251,a,7,,
1-81_ཕྱག་ན་རྡོ་རྗེ་གཏུམ་པོ་ཆེན་པོ་ཁྲོས་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས།_conc-corrected.txt,139,b,8,8,8,8,142,a,5,,
1-83_སེང་ལྡེང་ནགས་ཀྱི་སྒྲོལ་མ་ལ་བསྟོད་པ།_conc-corrected.txt,194,b,7,8,8,8,196,a,1,,
1-84_ནག་པོ་ཆེན་པོ་ཕྱག་བཞི་པའི་སྒྲུབ་ཐབས།_conc-corrected.txt,13,b,5,8,8,8,14,b,6,,
1-85_གླང་པོ་རིན་པོ་ཆེ་ལ་ནོར་བླང་བའི་མན་ངག_conc-corrected.txt,80,b,2,7,7,7,82,b,1,,
1-87_དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།_conc-corrected.txt,1,b,1,5,5,7,19,a,6,,ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག་པ་མ་ཙད་དབུའི་མཚན་བྱང་ཆད་འདུག
1-88_རིགས་པ་དྲུག་ཅུ་པའི་ཚིག་ལེའུར་བྱས་པ།_conc-corrected.txt,20,b,1,7,7,7,22,b,6,,ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག།
1-9_ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་མའི་བསྟོད་པ།_conc-corrected.txt,76,a,1,7,7,7,76,b,7,,
1-90_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་མདོ།_conc-corrected.txt,22,b,6,7,7,7,24,a,6,,
1-91_སྟོང་པ་ཉིད་བདུན་ཅུ་པའི་ཚིག་ལེའུར་བྱས་པ།_conc-corrected.txt,24,a,6,7,7,7,27,a,1,,
1-92_རྩོད་པ་བཟློག་པའི་ཚིག་ལེའུར་བྱས་པ།_conc-corrected.txt,27,a,1,7,7,7,29,a,7,,
1-93_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།_conc-corrected.txt,99,b,1,7,7,7,110,a,4,,
1-93_ཞིབ་མོ་རྣམ་པར་འཐག་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།_conc.txt,99,b,1,7,7,7,110,a,4,,
1-94_སྟོང་པ་བདུན་ཅུ་པའི་འགྲེལ་པ།_conc-corrected.txt,110,a,3,7,7,7,121,a,4,,
1-95_རྩོད་པ་བཟློག་པའི་འགྲེལ་པ།_conc.txt,121,a,4,7,7,7,137,a,7,,
1-97_ཐེག་པ་ཆེན་པོ་ཉི་ཤུ་པ།_conc-corrected.txt,178,b,6,7,7,7,179,b,3,,
1-98_ཡི་གེ་བརྒྱ་པ།_conc-corrected.txt,138,b,1,7,7,7,138,b,4,,
1-99_ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།_conc-corrected.txt,138,b,4,7,7,7,146,b,1,,
1-99_ཡི་གེ་བརྒྱ་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།_conc.txt,138,b,4,7,7,7,146,b,1,,
117_ལག་ན་རྡོ་རྗེ་གོས་སྔོན་ཅན་གྱི་སྒྲུབ་ཐབས་ཀྱི་རྒྱ་འགྲེལ།_conc.txt,194,a,2,7,7,7,202,a,6,,
118_ཕྱག་རྒྱ་བཞི་གཏན་ལ་འབབ་པ།_conc-corrected.txt,77,a,3,7,7,7,79,b,7,,དབུའི་ཐིག་ཕྲེང་གཉིས་ཟགས་འདུག
120_ཚིགས་སུ་བཅད་པ་ཕྱེད་དང་ལྔ་ཞེས་བྱ་བ།_conc-corrected.txt,128,a,6,7,7,7,133,a,4,,
145_ཉམ་གྱི་མན་ངག་ཐིག་ལེ་གསེར་གྱི་ཕྲེང་བ་ཞེས་བྱ་བ།_conc-corrected.txt,83,a,1,7,7,7,85,b,7,,དབུའི་ཐིག་ཕྲེང་དང་པོ་ཟགས་འདུག
149_དབང་གི་རིམ་པ་བསྟན་པ་ཞེས་བྱ་བ།_conc-corrected.txt,153,a,5,7,7,7,155,a,4,,དབུའི་ཐིག་ཕྲེང་གཉིས་ཟགས་འདུག
291_མགོན་པོ་བྱ་རོག་གདོང་གི་གཏོར་མདོས།_conc-corrected.txt,48,a,2,8,8,8,56,a,6,,
564_དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ།_conc-corrected.txt,250,b,4,7,7,7,251,a,7,,
63_དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་བརྒྱད་པ་ཞེས་བྱ་བ།_conc-corrected.txt,268,b,1,7,7,7,269,a,7,,
64_དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ།_conc-corrected.txt,268,b,1,7,7,7,269,a,7,,
